Sat Oct 07 02:38:28 +0000 2017,5 wards for @cityofsydney @LiberalNSW #nswpol #auspol #local #community   https://t.co/bHQWDxpgoi
Sat Oct 07 01:36:03 +0000 2017,Thanks to everyone who had a chat today at my Spring Street Stall Saturday #listening &amp; #delivering @GladysB… https://t.co/wbk2IfCqou
Sat Oct 07 01:00:06 +0000 2017,Thank you to everyone who came by to say G’Day at my Spring Street Stall Saturday #listening &amp; #delivering @GladysB… https://t.co/fpG6TReGyh
Fri Oct 06 21:56:11 +0000 2017,@LiberalNSW Still there https://t.co/lQqlpW3so5
Fri Oct 06 14:23:50 +0000 2017,@ChangeMillieu @smh Democracy Govts entrusted with power by the owners of the nation THE POPULOUS THE PEOPLE anyone… https://t.co/mH4IIsOBqN
Fri Oct 06 08:36:07 +0000 2017,RT @CVanderwert: @Havenaar64 @Jane9873 @TurnbullMalcolm @LiberalNSW And to think this guy is the head of Australia?
Fri Oct 06 06:45:42 +0000 2017,@TurnbullMalcolm @LiberalNSW How come we heard daily reports of suburban shootings in Sydney? #youarekiddingyourself #auspol
Fri Oct 06 06:33:38 +0000 2017,@Havenaar64 @Jane9873 @TurnbullMalcolm @LiberalNSW And to think this guy is the head of Australia?
Fri Oct 06 06:24:56 +0000 2017,@Havenaar64 @TurnbullMalcolm @LiberalNSW If judges had any backbone they throw it back at the burqa wearers by sayi… https://t.co/85zJM2whFn
Fri Oct 06 05:38:14 +0000 2017,"@LiberalNSW And now you are getting rid of area commanders, we can count all police station that hVe closed in the st George area."
Fri Oct 06 05:37:01 +0000 2017,@LiberalNSW Where are they? St George area not easy to find a policeman when you need one and your government keeps closing police stations.
Fri Oct 06 04:34:39 +0000 2017,.@LiberalNSW I participated in a survey on 28/3/2015 and had my council taken away. Looking forward to the next sur… https://t.co/zfdjFpOJeB
Thu Oct 05 22:56:35 +0000 2017,@cityofsydney needs 5 wards for true local representation and councillor accountability #auspol #nswpol @LiberalNSW… https://t.co/ZceOOVK2Ug
Thu Oct 05 22:20:26 +0000 2017,@joshgnosis @LiberalNSW @TransurbanGroup Is free-markt capitalism just optional extra now @LiberalsNSW ? You fear i… https://t.co/xhLDrhe5av
Thu Oct 05 22:15:30 +0000 2017,@joshgnosis @LiberalNSW @TransurbanGroup Oligarchs are rising &amp; they keep us distracted by 4ever pointing at terror… https://t.co/7w5wb7MXFz
Thu Oct 05 22:11:12 +0000 2017,"@joshgnosis Meanwhile, @LiberalNSW , whose core ideology= free-market capitalism contracts @TransurbanGroup to run… https://t.co/HNQZIhD5pI"
Thu Oct 05 11:51:56 +0000 2017,"RT @cristalacko: Always a pleasure to talk to our former Premier Mike Baird, a truly self actualized leader @LiberalNSW @womenandpower_ @Sa…"
Thu Oct 05 11:20:23 +0000 2017,"@netz_melb @LiberalNSW well,don't think it is because Daniel Andrews is a leftie because Gladys is also a leftie an… https://t.co/DFCNVmz5W5"
Thu Oct 05 10:45:38 +0000 2017,"Always a pleasure to talk to our former Premier Mike Baird, a truly self actualized leader @LiberalNSW… https://t.co/hPOiC9HuVz"
