Mon Oct 09 07:48:16 +0000 2017,@Luke_FoleyNSW @chriskkenny @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman So Luke will you build more coal fired PS… https://t.co/c27t9oOans
Mon Oct 09 06:58:41 +0000 2017,@Luke_FoleyNSW @chriskkenny @NSWLabor That's what Labor wants to put Coal out of business Not Standing by Alinta Liddell Hazelwood
Mon Oct 09 06:56:15 +0000 2017,@Luke_FoleyNSW @Senator_Assange @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman If you can stand up for the citizen o… https://t.co/bakmaJlrk9
Mon Oct 09 04:15:58 +0000 2017,@micksfoley @Tony_Burke @AusConservation What about @NSWLabor or @SenatorWong or @mildren
Mon Oct 09 04:11:13 +0000 2017,@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman As a Lithgow resident we are all concerned but Labor i… https://t.co/LYftneAz7n
Mon Oct 09 04:00:33 +0000 2017,@pwlister @NSWLabor And you all seemed so happy together at the last State Conference.
Mon Oct 09 02:59:06 +0000 2017,RT @tilly64: @pwlister @nswelectric @NSWLabor Now is a great time for any party to propose a different inclusive vision for nsw. Will media…
Mon Oct 09 02:53:19 +0000 2017,@pwlister @nswelectric @NSWLabor Now is a great time for any party to propose a different inclusive vision for nsw.… https://t.co/uhVk9tKseT
Mon Oct 09 02:17:48 +0000 2017,@Luke_FoleyNSW @NSWLabor @AdamSearleMLC @CFMEU @Cass_Coleman What is your policy on robots? You won’t let robots happen as well?
Mon Oct 09 02:07:14 +0000 2017,How much does @NSWLabor receive in kickbacks from the coal industry? Invest in the future and jobs growth. Stop pro… https://t.co/0Y0VgShqjd
Sun Oct 08 22:52:23 +0000 2017,@pwlister @NSWLabor She won't go without a fight
Sun Oct 08 22:42:00 +0000 2017,@CountryLabor thnx Dave &amp; Ian doing great work at Cowra Pre-Poll helping elect Charlie Sheahan as the next member f… https://t.co/KZNPHG0s0h
Sun Oct 08 22:04:51 +0000 2017,@jeremycorbyn @AustralianLabor @billshortenmp @alpsa  @LaborTerritory @NSWLabor @VictorianLabor @sallymcmanus… https://t.co/MJ09ga07I1
Sun Oct 08 10:31:58 +0000 2017,@AlboMP @NSWLabor Truly mentally ill
Sun Oct 08 08:46:51 +0000 2017,"RT @SaysBlueVelvet: @AlboMP @NSWLabor Yeah, so? Where's your outrage at the destruction of Aussie rights, freedoms and liberties, eh? Do yo…"
Sun Oct 08 08:46:47 +0000 2017,RT @RJKilcullen: @AlboMP @NSWLabor There are no true believers any more since Labor won't represent its voters on an issue of major importa…
Sun Oct 08 08:46:36 +0000 2017,@AlboMP @NSWLabor But what are doing to Stop Santos?
Sun Oct 08 07:20:11 +0000 2017,@AlboMP @NSWLabor Why didn't you head to Camperdown Memorial Park yesterday? I expect more from you than essentiall… https://t.co/mOLeDdVgp3
Sun Oct 08 06:49:21 +0000 2017,@AlboMP @NSWLabor There are no true believers any more since Labor won't represent its voters on an issue of major… https://t.co/keNEnARt12
Sun Oct 08 06:32:35 +0000 2017,@AlboMP @NSWLabor Tell  them to #STOPADANI
Sun Oct 08 06:31:56 +0000 2017,"@AlboMP @NSWLabor Yeah, so? Where's your outrage at the destruction of Aussie rights, freedoms and liberties, eh? Do you care?"
Sun Oct 08 05:57:57 +0000 2017,"@AlboMP @NSWLabor To denounce adani, i hope?"
Sun Oct 08 04:46:13 +0000 2017,@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh @AlboMP Today's obviously Bowen Far Rig… https://t.co/TNkEyex01p
Sun Oct 08 04:42:47 +0000 2017,"@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh @AlboMP Testing ""Prospectus"" @NSWLabor… https://t.co/pVk29Iin6Y"
Sun Oct 08 04:40:00 +0000 2017,"@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh @AlboMP Testing ""Prospectus"" @NSWLabor… https://t.co/qqDNDcqKR4"
Sun Oct 08 04:35:20 +0000 2017,@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh @AlboMP The @NSWLabor Right however has… https://t.co/RdXCEhOsPL
Sun Oct 08 04:30:34 +0000 2017,@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh @AlboMP Sub-factions in @NSWLabor Right… https://t.co/1LLghxiXAU
Sun Oct 08 04:06:22 +0000 2017,@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh Shorten @billshortenmp &amp; @AlboMP know B… https://t.co/Htxwd666Ls
Sun Oct 08 03:10:33 +0000 2017,"@StanSteam2 No, see @australian quoting #PatricianAttritionist Bowenite Far Right Sub-faction of @NSWLabor Right -… https://t.co/pVwn0qKgck"
Sun Oct 08 02:47:58 +0000 2017,"@pleaseuseaussie @billshortenmp @theheraldsun @australian @SkyNewsAust @smh No, overt Leadership Gerrymander is mut… https://t.co/3LjF1509dQ"
Sun Oct 08 01:18:37 +0000 2017,"@PrimaBaci @tanya_plibersek No, @NSWLabor Right turned on Eric Roozendaal bc they're #PatricianAttritionist. Danby… https://t.co/KcLfUypZe7"
Sun Oct 08 00:59:13 +0000 2017,"RT @Cat_Santleben: @StevensAsh No, all that @NSWLabor Right has these days @billshortenmp is Gerrymander ""game,"" not Leadership ""game."" @Bo…"
Sun Oct 08 00:52:18 +0000 2017,"@StevensAsh No, all that @NSWLabor Right has these days @billshortenmp is Gerrymander ""game,"" not Leadership ""game.… https://t.co/Xa73nO2mMW"
Fri Oct 06 09:05:05 +0000 2017,@JosephScales @AlboMP @AMEquality @AustralianLabor @RainbowLaborNSW @NSWLabor Cute pup😍
Fri Oct 06 08:04:25 +0000 2017,They’re STILL costing the NSW taxpayer a fortune. Thanks again @NSWLabor https://t.co/g8dV3V13OM
Fri Oct 06 03:45:12 +0000 2017,"I just love that this keeps going and going and going and going…

@NSWLabor must love it too 😜😂 https://t.co/FbEu3dyvNb"
Fri Oct 06 03:21:51 +0000 2017,"Cool. Toilets are in this season! 
#voteyes
#marriageequaility 
@NSWLabor you see this? Amazing!!! https://t.co/YwlQWdcSte"
Thu Oct 05 20:56:09 +0000 2017,Congrats to all AIM award winners at last nights 2017 Australian Leadership Excellence Awards’ representing… https://t.co/bmGKcikCoY
Thu Oct 05 11:20:20 +0000 2017,@con1094 @NSWLabor Why. Nationals are the enemy. Shooters and fishers are just annoying
Thu Oct 05 10:47:23 +0000 2017,Wow. @NSWLabor should be ashamed of themselves. #auspol #nswpol #springst https://t.co/LF6Fy8NPhm
